gender,ethnicity_group,education_level,meal_plan,training_completed,technical_score,communication_score,management_score
male,Group D,doctorate,standard,none,76,57,67
male,Group C,doctorate,premium,completed,40,50,43
male,Group E,high school,premium,completed,48,61,82
male,Group C,associate degree,standard,partial,83,84,46
female,Group B,doctorate,premium,none,58,81,69
female,Group E,doctorate,premium,none,51,56,83
female,Group C,associate degree,standard,none,66,90,71
female,Group C,high school,premium,completed,71,42,94
female,Group E,bachelor's degree,standard,none,71,85,77
female,Group B,bachelor's degree,standard,partial,66,61,81
male,Group E,high school,premium,completed,55,79,62
female,Group D,bachelor's degree,standard,completed,90,51,48
female,Group C,doctorate,standard,completed,93,90,46
male,Group C,associate degree,standard,completed,81,78,59
female,Group A,bachelor's degree,standard,completed,86,57,45
male,Group C,high school,standard,none,97,64,98
female,Group E,bachelor's degree,standard,none,83,45,75
female,Group C,bachelor's degree,premium,partial,50,60,48
female,Group A,bachelor's degree,premium,none,87,48,51
male,Group D,master's degree,premium,partial,60,87,71
female,Group E,associate degree,premium,completed,96,51,56
male,Group D,bachelor's degree,standard,partial,90,72,93
female,Group C,master's degree,standard,completed,67,55,76
male,Group B,high school,standard,completed,75,57,84
male,Group D,bachelor's degree,premium,none,46,56,65
female,Group D,bachelor's degree,premium,none,63,82,64
male,Group B,high school,premium,none,94,77,50
male,Group A,high school,premium,none,56,78,83
male,Group C,doctorate,standard,partial,45,94,56
female,Group A,bachelor's degree,standard,partial,93,81,52
female,Group D,master's degree,premium,completed,88,44,73
male,Group B,high school,standard,partial,68,72,57
female,Group A,bachelor's degree,premium,none,62,85,72
male,Group C,associate degree,premium,completed,50,65,75
female,Group A,high school,premium,completed,54,95,49
female,Group C,associate degree,premium,none,60,74,55
female,Group A,associate degree,standard,completed,72,62,79
female,Group E,high school,premium,completed,65,83,76
female,Group B,master's degree,premium,none,71,86,77
male,Group A,associate degree,standard,partial,60,42,67
male,Group B,associate degree,premium,none,60,59,52
male,Group E,doctorate,standard,completed,63,53,59
male,Group C,associate degree,premium,none,91,56,83
male,Group C,doctorate,standard,none,94,80,65
male,Group B,high school,standard,none,79,62,59
male,Group B,high school,standard,partial,58,89,75
female,Group C,bachelor's degree,premium,completed,61,56,49
male,Group E,high school,standard,none,91,57,92
male,Group D,associate degree,standard,none,83,97,62
female,Group C,associate degree,standard,none,97,54,65
female,Group C,bachelor's degree,premium,completed,79,74,99
male,Group E,associate degree,premium,completed,74,81,68
female,Group B,bachelor's degree,premium,partial,77,85,88
female,Group E,master's degree,premium,partial,87,65,56
female,Group D,master's degree,standard,partial,70,98,59
male,Group D,master's degree,premium,none,90,48,74
male,Group D,high school,premium,none,92,71,57
female,Group C,master's degree,standard,none,49,74,85
male,Group A,high school,premium,completed,50,49,92
male,Group A,bachelor's degree,premium,completed,81,93,96
female,Group E,doctorate,standard,completed,89,73,94
male,Group D,bachelor's degree,premium,completed,48,54,53
male,Group D,master's degree,premium,completed,72,95,72
male,Group B,doctorate,standard,completed,46,78,84
male,Group B,master's degree,standard,partial,68,64,75
male,Group D,master's degree,premium,completed,83,97,41
female,Group E,associate degree,premium,partial,55,80,41
female,Group B,bachelor's degree,standard,none,50,78,58
female,Group E,associate degree,standard,partial,66,79,70
male,Group B,bachelor's degree,premium,partial,71,81,78
male,Group D,high school,standard,completed,63,70,50
female,Group B,associate degree,premium,completed,95,83,52
female,Group C,high school,premium,none,72,69,55
male,Group D,master's degree,standard,completed,97,52,60
male,Group B,master's degree,standard,completed,98,97,51
male,Group E,master's degree,premium,partial,64,87,77
female,Group A,doctorate,standard,partial,51,70,50
male,Group A,associate degree,premium,none,42,70,99
male,Group D,associate degree,premium,none,46,80,54
female,Group B,doctorate,premium,partial,70,93,43
female,Group B,bachelor's degree,premium,completed,94,90,82
female,Group A,bachelor's degree,premium,completed,52,66,87
male,Group E,master's degree,premium,none,80,96,78
male,Group C,bachelor's degree,premium,none,71,43,89
female,Group E,doctorate,premium,none,56,74,70
female,Group D,master's degree,standard,none,85,55,72
female,Group D,high school,standard,completed,68,56,44
male,Group D,master's degree,standard,none,82,44,84
female,Group D,master's degree,premium,partial,56,43,74
male,Group B,doctorate,premium,partial,57,66,85
male,Group A,high school,standard,partial,55,75,54
male,Group E,master's degree,premium,completed,58,89,46
male,Group E,bachelor's degree,premium,partial,86,61,81
male,Group D,bachelor's degree,premium,none,53,88,49
female,Group E,associate degree,premium,partial,69,56,80
female,Group E,bachelor's degree,standard,none,42,61,47
female,Group E,high school,standard,partial,98,62,64
male,Group B,high school,standard,none,86,88,55
male,Group B,associate degree,standard,partial,60,55,46
female,Group D,associate degree,premium,completed,55,53,72
female,Group B,doctorate,premium,completed,79,62,98
male,Group C,associate degree,premium,none,51,77,43
female,Group D,associate degree,premium,none,93,80,67
male,Group B,high school,premium,completed,62,61,69
female,Group C,bachelor's degree,premium,completed,63,47,57
female,Group D,associate degree,premium,partial,73,46,55
female,Group B,high school,standard,none,91,45,64
female,Group E,associate degree,premium,completed,88,97,84
female,Group C,bachelor's degree,standard,completed,72,74,42
female,Group D,high school,premium,none,65,78,76
female,Group C,bachelor's degree,premium,none,45,76,77
male,Group C,bachelor's degree,premium,completed,70,44,46
male,Group B,associate degree,standard,partial,55,83,70
male,Group E,associate degree,premium,none,60,80,44
male,Group B,high school,premium,none,84,86,45
female,Group A,associate degree,premium,none,90,53,98
female,Group C,high school,standard,completed,80,88,44
male,Group B,master's degree,standard,none,92,71,86
female,Group E,bachelor's degree,standard,none,66,59,82
male,Group D,master's degree,standard,partial,95,40,65
female,Group B,high school,premium,completed,46,59,61
male,Group E,associate degree,premium,completed,51,51,87
male,Group C,high school,premium,partial,64,54,86
female,Group C,bachelor's degree,premium,partial,67,91,71
female,Group E,doctorate,premium,completed,94,98,63
female,Group A,associate degree,standard,completed,69,58,71
male,Group A,associate degree,standard,completed,59,42,81
female,Group C,bachelor's degree,premium,partial,64,75,69
male,Group D,associate degree,standard,completed,83,97,70
female,Group D,doctorate,premium,completed,64,98,49
male,Group D,bachelor's degree,standard,partial,87,54,51
male,Group C,doctorate,premium,partial,87,66,85
female,Group B,doctorate,premium,none,76,55,63
female,Group D,bachelor's degree,standard,partial,81,99,56
male,Group D,master's degree,standard,none,93,85,74
male,Group E,bachelor's degree,premium,partial,74,60,49
female,Group A,master's degree,premium,completed,76,59,95
female,Group A,associate degree,premium,partial,40,87,81
male,Group D,doctorate,standard,completed,78,60,51
female,Group D,master's degree,premium,completed,71,51,69
female,Group C,bachelor's degree,premium,completed,79,74,48
male,Group A,high school,standard,partial,83,92,43
male,Group B,master's degree,premium,none,75,79,70
male,Group B,bachelor's degree,premium,partial,42,67,75
female,Group A,master's degree,premium,none,62,41,85
female,Group E,doctorate,standard,completed,55,68,40
female,Group D,associate degree,premium,none,59,54,59
male,Group D,bachelor's degree,standard,partial,47,59,76
female,Group D,doctorate,standard,partial,83,97,85
male,Group A,bachelor's degree,standard,none,72,51,96
female,Group A,doctorate,premium,partial,78,79,69
male,Group C,associate degree,premium,none,73,83,57
female,Group C,bachelor's degree,premium,none,51,82,53
female,Group A,doctorate,standard,none,88,76,48
male,Group E,high school,premium,completed,87,43,83
female,Group A,associate degree,standard,none,88,55,43
female,Group B,associate degree,premium,none,51,76,69
female,Group D,doctorate,standard,none,85,41,61
male,Group C,master's degree,premium,completed,53,42,48
female,Group A,associate degree,standard,partial,62,80,71
male,Group B,master's degree,standard,none,95,61,63
female,Group A,high school,premium,none,58,49,74
male,Group C,bachelor's degree,premium,completed,84,66,82
male,Group D,doctorate,premium,partial,55,91,93
female,Group B,master's degree,premium,none,74,59,81
male,Group C,associate degree,standard,completed,78,97,69
male,Group B,associate degree,premium,partial,72,66,45
female,Group D,high school,standard,partial,41,46,71
male,Group A,master's degree,premium,partial,88,77,84
female,Group A,associate degree,premium,completed,84,92,80
female,Group E,bachelor's degree,premium,partial,57,45,47
female,Group A,master's degree,premium,completed,50,54,44
male,Group E,doctorate,standard,none,78,47,40
male,Group E,associate degree,premium,completed,98,48,95
female,Group E,associate degree,premium,none,55,60,85
male,Group C,doctorate,premium,none,64,56,75
male,Group E,associate degree,premium,partial,95,43,44
female,Group A,high school,premium,none,79,74,85
male,Group C,bachelor's degree,standard,partial,78,52,66
male,Group A,master's degree,premium,partial,48,66,93
female,Group A,doctorate,standard,completed,68,96,59
male,Group E,doctorate,premium,none,82,50,95
female,Group A,master's degree,premium,none,65,67,48
female,Group D,high school,standard,partial,49,93,46
female,Group A,master's degree,standard,completed,89,44,54
male,Group A,associate degree,standard,partial,59,55,40
male,Group A,associate degree,premium,none,86,88,77
female,Group E,high school,standard,partial,60,46,99
female,Group E,bachelor's degree,standard,none,93,52,44
male,Group B,doctorate,standard,partial,60,84,93
male,Group E,master's degree,standard,completed,91,70,48
female,Group E,high school,premium,none,95,71,50
female,Group C,high school,premium,completed,57,82,50
male,Group B,high school,premium,none,76,76,62
male,Group D,doctorate,premium,completed,90,80,72
male,Group A,bachelor's degree,premium,partial,82,89,46
female,Group C,bachelor's degree,standard,completed,59,52,72
male,Group C,high school,premium,none,89,91,72
male,Group B,high school,premium,none,67,48,99
female,Group B,doctorate,premium,none,63,57,69
male,Group B,doctorate,standard,partial,50,45,80
female,Group A,associate degree,premium,none,71,65,64
female,Group E,high school,premium,partial,89,60,81
male,Group E,doctorate,standard,partial,48,76,82
female,Group B,master's degree,standard,none,68,67,51
male,Group E,master's degree,premium,none,60,97,69
female,Group E,bachelor's degree,standard,completed,85,85,40
female,Group B,high school,standard,partial,98,81,64
female,Group A,associate degree,standard,partial,99,40,43
male,Group C,high school,standard,none,97,88,51
male,Group E,bachelor's degree,standard,partial,86,89,55
female,Group E,doctorate,premium,partial,70,88,58
female,Group B,doctorate,standard,none,51,93,63
female,Group B,doctorate,standard,none,81,63,71
male,Group D,high school,premium,none,91,46,51
female,Group C,bachelor's degree,premium,completed,40,67,73
male,Group E,bachelor's degree,premium,partial,85,75,52
female,Group D,high school,premium,partial,69,65,77
male,Group A,associate degree,standard,none,52,49,49
male,Group B,master's degree,standard,none,48,78,85
female,Group E,bachelor's degree,standard,partial,48,81,51
male,Group C,master's degree,premium,completed,96,83,81
male,Group C,associate degree,standard,partial,87,43,50
female,Group C,high school,standard,none,94,40,50
male,Group C,doctorate,standard,none,79,56,70
male,Group D,bachelor's degree,standard,none,62,50,51
male,Group A,bachelor's degree,premium,none,94,70,49
male,Group C,high school,standard,none,98,86,95
female,Group D,high school,premium,partial,54,98,82
male,Group C,associate degree,standard,completed,63,86,52
female,Group B,associate degree,premium,completed,44,85,79
male,Group E,bachelor's degree,premium,partial,58,80,76
female,Group B,doctorate,standard,none,79,77,66
female,Group B,associate degree,premium,completed,57,47,61
male,Group B,doctorate,standard,completed,64,73,91
female,Group C,associate degree,premium,completed,55,85,59
male,Group D,high school,standard,completed,99,64,50
male,Group B,master's degree,standard,partial,93,89,88
female,Group E,associate degree,standard,none,65,72,85
male,Group A,master's degree,standard,completed,94,75,52
female,Group B,high school,standard,partial,43,64,60
female,Group C,doctorate,standard,none,75,69,94
female,Group A,master's degree,standard,completed,64,79,70
male,Group A,master's degree,premium,none,87,47,66
male,Group D,associate degree,standard,none,59,45,72
female,Group E,high school,standard,completed,96,92,44
female,Group A,master's degree,standard,none,52,57,41
female,Group D,doctorate,premium,none,47,60,90
female,Group D,high school,standard,completed,91,64,59
male,Group E,doctorate,premium,none,62,47,91
female,Group A,doctorate,premium,completed,58,88,85
male,Group C,associate degree,premium,completed,73,88,90
female,Group C,bachelor's degree,premium,partial,79,99,54
female,Group D,bachelor's degree,premium,none,97,95,62
male,Group C,doctorate,premium,completed,50,63,61
female,Group E,high school,premium,completed,43,64,82
male,Group A,doctorate,premium,none,96,45,80
male,Group D,doctorate,premium,completed,41,98,40
male,Group B,master's degree,premium,completed,71,99,90
female,Group E,master's degree,standard,completed,45,77,48
male,Group D,bachelor's degree,standard,partial,59,41,44
male,Group D,bachelor's degree,premium,none,51,81,57
female,Group C,associate degree,standard,completed,97,73,63
male,Group A,high school,premium,none,93,92,61
male,Group A,associate degree,premium,none,98,87,59
female,Group D,associate degree,standard,partial,77,62,95
female,Group E,bachelor's degree,premium,partial,53,97,76
female,Group E,associate degree,standard,completed,59,54,86
female,Group A,associate degree,standard,partial,54,97,56
female,Group A,doctorate,premium,none,63,51,84
female,Group E,bachelor's degree,premium,completed,96,62,96
female,Group A,associate degree,standard,none,71,57,68
female,Group B,master's degree,premium,none,71,83,56
female,Group D,doctorate,standard,none,49,99,84
male,Group B,bachelor's degree,standard,partial,66,62,83
female,Group E,associate degree,premium,none,69,76,42
male,Group B,bachelor's degree,standard,completed,51,94,70
male,Group A,master's degree,premium,none,75,55,77
male,Group A,associate degree,premium,none,90,52,93
male,Group C,high school,premium,none,67,92,86
male,Group B,high school,standard,none,76,94,50
female,Group E,bachelor's degree,standard,completed,83,57,94
female,Group A,bachelor's degree,standard,completed,67,87,81
male,Group A,bachelor's degree,standard,completed,90,90,92
female,Group E,master's degree,premium,none,76,43,82
male,Group A,doctorate,standard,none,75,57,96
male,Group E,high school,premium,completed,92,48,68
female,Group A,bachelor's degree,premium,none,81,56,90
male,Group E,high school,standard,partial,88,64,47
male,Group B,associate degree,premium,none,60,88,89
female,Group D,high school,premium,completed,70,65,51
female,Group A,associate degree,premium,completed,40,63,79
female,Group C,master's degree,standard,none,92,43,88
male,Group C,master's degree,premium,none,70,44,55
male,Group A,master's degree,standard,completed,58,88,80
female,Group C,associate degree,standard,none,71,74,82
female,Group E,doctorate,standard,partial,66,86,74
female,Group A,bachelor's degree,standard,none,77,51,69
male,Group B,doctorate,standard,none,65,78,64
female,Group D,doctorate,standard,partial,56,88,76
female,Group A,high school,premium,completed,99,42,53
female,Group B,master's degree,premium,none,65,53,74
female,Group D,doctorate,premium,none,60,52,53
female,Group A,doctorate,standard,partial,93,84,83
female,Group E,bachelor's degree,standard,partial,84,93,94
female,Group D,bachelor's degree,premium,partial,65,97,57
male,Group B,doctorate,premium,partial,94,96,99
female,Group E,doctorate,premium,completed,79,85,79
male,Group C,doctorate,standard,completed,58,65,42
male,Group D,associate degree,premium,none,55,87,98
male,Group C,high school,standard,completed,68,41,78
female,Group D,doctorate,premium,none,95,57,66
female,Group A,master's degree,premium,completed,99,65,48
female,Group E,master's degree,premium,completed,48,59,54
female,Group C,associate degree,standard,partial,82,66,85
male,Group E,doctorate,premium,partial,92,43,57
male,Group E,bachelor's degree,standard,none,75,93,82
female,Group D,doctorate,premium,none,88,90,85
female,Group E,bachelor's degree,standard,partial,71,71,98
male,Group D,high school,standard,none,53,41,98
male,Group D,high school,standard,none,41,42,52
male,Group B,doctorate,premium,completed,74,96,73
male,Group C,master's degree,premium,completed,93,65,80
female,Group C,bachelor's degree,premium,none,56,55,53
male,Group B,bachelor's degree,standard,partial,44,60,65
female,Group B,associate degree,premium,completed,48,88,59
female,Group E,doctorate,premium,partial,92,48,95
female,Group B,bachelor's degree,premium,none,48,86,52
female,Group C,doctorate,premium,none,48,88,81
female,Group E,bachelor's degree,premium,partial,65,70,55
female,Group D,associate degree,standard,completed,62,59,85
female,Group B,associate degree,standard,completed,78,67,95
female,Group C,bachelor's degree,premium,none,92,77,82
male,Group E,master's degree,premium,completed,86,40,71
male,Group A,associate degree,premium,none,70,66,93
male,Group A,doctorate,premium,partial,79,65,80
male,Group E,doctorate,standard,none,76,53,43
female,Group A,associate degree,premium,none,80,69,63
male,Group B,bachelor's degree,premium,none,81,63,53
male,Group C,bachelor's degree,standard,partial,72,73,84
female,Group C,associate degree,standard,none,58,64,61
male,Group E,bachelor's degree,standard,completed,83,55,86
female,Group B,master's degree,premium,partial,98,84,69
female,Group B,associate degree,premium,partial,66,64,87
female,Group B,high school,premium,completed,79,69,97
female,Group C,master's degree,standard,partial,68,98,63
male,Group E,associate degree,premium,partial,80,40,75
male,Group A,master's degree,premium,partial,45,62,55
female,Group B,high school,standard,completed,97,64,64
female,Group A,bachelor's degree,premium,completed,87,86,86
female,Group E,associate degree,premium,partial,52,51,44
female,Group A,master's degree,standard,completed,95,55,56
male,Group C,associate degree,premium,completed,58,74,66
female,Group A,doctorate,premium,completed,87,86,69
female,Group D,associate degree,premium,completed,92,44,49
male,Group C,master's degree,standard,partial,59,73,95
female,Group B,high school,standard,none,48,69,97
male,Group A,master's degree,premium,completed,76,47,62
male,Group D,master's degree,standard,partial,99,84,49
female,Group A,associate degree,premium,none,82,66,67
female,Group D,bachelor's degree,premium,partial,93,83,95
female,Group B,doctorate,standard,completed,63,51,99
male,Group E,associate degree,standard,none,82,65,77
male,Group B,high school,premium,partial,51,74,59
female,Group A,high school,premium,none,89,42,64
female,Group E,associate degree,premium,partial,65,92,40
male,Group B,bachelor's degree,standard,completed,83,72,97
female,Group E,bachelor's degree,premium,none,92,76,88
male,Group B,doctorate,premium,none,71,79,75
male,Group C,bachelor's degree,standard,completed,67,70,88
male,Group C,doctorate,premium,completed,89,67,97
female,Group C,master's degree,standard,partial,70,42,69
male,Group D,master's degree,standard,completed,78,80,61
female,Group D,high school,standard,partial,79,97,46
male,Group B,master's degree,standard,partial,69,88,64
male,Group B,associate degree,premium,none,99,78,60
male,Group A,high school,premium,completed,51,76,69
male,Group B,associate degree,standard,partial,56,79,60
male,Group D,associate degree,premium,completed,46,59,78
male,Group D,high school,premium,partial,74,78,46
male,Group D,bachelor's degree,premium,partial,45,85,40
male,Group A,bachelor's degree,premium,none,85,80,69
male,Group B,associate degree,premium,none,76,48,69
female,Group C,associate degree,premium,completed,69,76,97
male,Group E,doctorate,standard,none,53,80,71
female,Group E,bachelor's degree,premium,none,76,66,94
female,Group B,master's degree,standard,completed,94,47,59
male,Group B,associate degree,standard,completed,88,55,96
female,Group B,high school,premium,partial,82,86,45
male,Group A,bachelor's degree,premium,none,75,62,91
female,Group A,associate degree,standard,completed,69,84,84
male,Group D,doctorate,premium,completed,75,72,45
male,Group C,master's degree,premium,none,96,69,93
male,Group D,associate degree,standard,partial,53,74,68
male,Group C,high school,standard,none,86,93,51
male,Group E,doctorate,standard,none,86,50,51
female,Group A,doctorate,premium,partial,75,88,53
female,Group B,master's degree,standard,partial,47,74,71
male,Group B,bachelor's degree,premium,partial,84,95,97
female,Group B,high school,standard,completed,82,49,88
female,Group C,high school,premium,partial,92,68,59
female,Group B,bachelor's degree,premium,none,75,98,51
female,Group C,master's degree,standard,none,73,59,94
male,Group A,high school,standard,none,49,54,53
